good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Мальчик спит.,Мальчик спит подушку.,Мальчик,Мальчик,подушку,intransitive_verb_misuse__
Она работает.,Она работает проект.,Она,Она,проект,intransitive_verb_misuse__ 
Девочка растёт.,Девочка растёт дерево.,Девочка,Девочка,дерево,intransitive_verb_misuse_    
Он смеётся.,Он смеётся шутку.,Он,Он,шутку,intransitive_verb_misuse     
Мама отдыхает.,Мама отдыхает день.,Мама,Мама,день,intransitive_verb_misuse     
Они играют.,Они играют музыку.,Они,Они,музыку,intransitive_verb_misuse     
Ребёнок плачет.,Ребёнок плачет песню.,Ребёнок,Ребёнок,песню,intransitive_verb_misuse     
Собака бежит.,Собака бежит дорогу.,Собака,Собака,дорогу,intransitive_verb_misuse     
Птица летит.,Птица летит небо.,Птица,Птица,небо,intransitive_verb_misuse     
Бабушка умирает.,Бабушка умирает болезнь.,Бабушка,Бабушка,болезнь,intransitive_verb_misuse     
Девочка играют.,Девочка играют шутку.,Девочка,Девочка,шутку,intransitive_verb_misuse     
Ребёнок отдыхает.,Ребёнок отдыхает подушку.,Ребёнок,Ребёнок,подушку,intransitive_verb_misuse     
Бабушка отдыхает.,Бабушка отдыхает дерево.,Бабушка,Бабушка,дерево,intransitive_verb_misuse     
Птица смеётся.,Птица смеётся дерево.,Птица,Птица,дерево,intransitive_verb_misuse     
Мальчик плачет.,Мальчик плачет дорогу.,Мальчик,Мальчик,дорогу,intransitive_verb_misuse     
Он смеётся.,Он смеётся шутку.,Он,Он,шутку,intransitive_verb_misuse     
Мама спит.,Мама спит болезнь.,Мама,Мама,болезнь,intransitive_verb_misuse     
Птица отдыхает.,Птица отдыхает день.,Птица,Птица,день,intransitive_verb_misuse     
Собака работает.,Собака работает шутку.,Собака,Собака,шутку,intransitive_verb_misuse     
Собака летит.,Собака летит дерево.,Собака,Собака,дерево,intransitive_verb_misuse     
Он работает.,Он работает проект.,Он,Он,проект,intransitive_verb_misuse     
Мальчик спит.,Мальчик спит песню.,Мальчик,Мальчик,песню,intransitive_verb_misuse     
Он умирает.,Он умирает песню.,Он,Он,песню,intransitive_verb_misuse     
Он играют.,Он играют подушку.,Он,Он,подушку,intransitive_verb_misuse     
Они смеётся.,Они смеётся болезнь.,Они,Они,болезнь,intransitive_verb_misuse     
Он бежит.,Он бежит болезнь.,Он,Он,болезнь,intransitive_verb_misuse     
Он играют.,Он играют дерево.,Он,Он,дерево,intransitive_verb_misuse     
Собака играют.,Собака играют дерево.,Собака,Собака,дерево,intransitive_verb_misuse     
Они спит.,Они спит болезнь.,Они,Они,болезнь,intransitive_verb_misuse     
Девочка играют.,Девочка играют музыку.,Девочка,Девочка,музыку,intransitive_verb_misuse     
Мальчик играют.,Мальчик играют музыку.,Мальчик,Мальчик,музыку,intransitive_verb_misuse     
Он растёт.,Он растёт проект.,Он,Он,проект,intransitive_verb_misuse     
Он спит.,Он спит песню.,Он,Он,песню,intransitive_verb_misuse     
Птица спит.,Птица спит небо.,Птица,Птица,небо,intransitive_verb_misuse     
Птица спит.,Птица спит проект.,Птица,Птица,проект,intransitive_verb_misuse     
Она работает.,Она работает проект.,Она,Она,проект,intransitive_verb_misuse     
Птица играют.,Птица играют шутку.,Птица,Птица,шутку,intransitive_verb_misuse     
Они плачет.,Они плачет подушку.,Они,Они,подушку,intransitive_verb_misuse     
Собака бежит.,Собака бежит музыку.,Собака,Собака,музыку,intransitive_verb_misuse     
Он умирает.,Он умирает музыку.,Он,Он,музыку,intransitive_verb_misuse     
Они бежит.,Они бежит небо.,Они,Они,небо,intransitive_verb_misuse     
Он работает.,Он работает болезнь.,Он,Он,болезнь,intransitive_verb_misuse     
Девочка смеётся.,Девочка смеётся подушку.,Девочка,Девочка,подушку,intransitive_verb_misuse     
Мама спит.,Мама спит песню.,Мама,Мама,песню,intransitive_verb_misuse     
Собака плачет.,Собака плачет день.,Собака,Собака,день,intransitive_verb_misuse     
Он спит.,Он спит песню.,Он,Он,песню,intransitive_verb_misuse     
Они смеётся.,Они смеётся дерево.,Они,Они,дерево,intransitive_verb_misuse     
Он умирает.,Он умирает песню.,Он,Он,песню,intransitive_verb_misuse     
Девочка смеётся.,Девочка смеётся дерево.,Девочка,Девочка,дерево,intransitive_verb_misuse     
Девочка работает.,Девочка работает музыку.,Девочка,Девочка,музыку,intransitive_verb_misuse     
Собака растёт.,Собака растёт подушку.,Собака,Собака,подушку,intransitive_verb_misuse     
Она спит.,Она спит день.,Она,Она,день,intransitive_verb_misuse     
Собака отдыхает.,Собака отдыхает подушку.,Собака,Собака,подушку,intransitive_verb_misuse     
Бабушка работает.,Бабушка работает проект.,Бабушка,Бабушка,проект,intransitive_verb_misuse     
Она спит.,Она спит небо.,Она,Она,небо,intransitive_verb_misuse     
Она отдыхает.,Она отдыхает болезнь.,Она,Она,болезнь,intransitive_verb_misuse     
Бабушка плачет.,Бабушка плачет день.,Бабушка,Бабушка,день,intransitive_verb_misuse     
Девочка смеётся.,Девочка смеётся музыку.,Девочка,Девочка,музыку,intransitive_verb_misuse     
Бабушка играют.,Бабушка играют песню.,Бабушка,Бабушка,песню,intransitive_verb_misuse     
Девочка бежит.,Девочка бежит дерево.,Девочка,Девочка,дерево,intransitive_verb_misuse     
Бабушка отдыхает.,Бабушка отдыхает болезнь.,Бабушка,Бабушка,болезнь,intransitive_verb_misuse     
Девочка растёт.,Девочка растёт песню.,Девочка,Девочка,песню,intransitive_verb_misuse     
Собака бежит.,Собака бежит небо.,Собака,Собака,небо,intransitive_verb_misuse     
Они умирает.,Они умирает дерево.,Они,Они,дерево,intransitive_verb_misuse     
Мама умирает.,Мама умирает небо.,Мама,Мама,небо,intransitive_verb_misuse     
Ребёнок смеётся.,Ребёнок смеётся шутку.,Ребёнок,Ребёнок,шутку,intransitive_verb_misuse     
Они спит.,Они спит болезнь.,Они,Они,болезнь,intransitive_verb_misuse     
Девочка плачет.,Девочка плачет дорогу.,Девочка,Девочка,дорогу,intransitive_verb_misuse     
Она играют.,Она играют дорогу.,Она,Она,дорогу,intransitive_verb_misuse     
Она отдыхает.,Она отдыхает шутку.,Она,Она,шутку,intransitive_verb_misuse     
Он смеётся.,Он смеётся день.,Он,Он,день,intransitive_verb_misuse     
Бабушка работает.,Бабушка работает музыку.,Бабушка,Бабушка,музыку,intransitive_verb_misuse     
Птица бежит.,Птица бежит проект.,Птица,Птица,проект,intransitive_verb_misuse     
Мама смеётся.,Мама смеётся дорогу.,Мама,Мама,дорогу,intransitive_verb_misuse     
Бабушка спит.,Бабушка спит проект.,Бабушка,Бабушка,проект,intransitive_verb_misuse     
Собака отдыхает.,Собака отдыхает дорогу.,Собака,Собака,дорогу,intransitive_verb_misuse     
Мальчик смеётся.,Мальчик смеётся песню.,Мальчик,Мальчик,песню,intransitive_verb_misuse     
Он бежит.,Он бежит дорогу.,Он,Он,дорогу,intransitive_verb_misuse     
Они плачет.,Они плачет дорогу.,Они,Они,дорогу,intransitive_verb_misuse     
Мальчик бежит.,Мальчик бежит дорогу.,Мальчик,Мальчик,дорогу,intransitive_verb_misuse     
Бабушка спит.,Бабушка спит небо.,Бабушка,Бабушка,небо,intransitive_verb_misuse     
Она умирает.,Она умирает день.,Она,Она,день,intransitive_verb_misuse     
Она спит.,Она спит небо.,Она,Она,небо,intransitive_verb_misuse     
Мальчик бежит.,Мальчик бежит подушку.,Мальчик,Мальчик,подушку,intransitive_verb_misuse     
Птица отдыхает.,Птица отдыхает дорогу.,Птица,Птица,дорогу,intransitive_verb_misuse     
Бабушка работает.,Бабушка работает болезнь.,Бабушка,Бабушка,болезнь,intransitive_verb_misuse     
Она спит.,Она спит шутку.,Она,Она,шутку,intransitive_verb_misuse     
Они смеётся.,Они смеётся проект.,Они,Они,проект,intransitive_verb_misuse     
Они умирает.,Они умирает дерево.,Они,Они,дерево,intransitive_verb_misuse     
Собака спит.,Собака спит дерево.,Собака,Собака,дерево,intransitive_verb_misuse     
Собака бежит.,Собака бежит музыку.,Собака,Собака,музыку,intransitive_verb_misuse     
Они растёт.,Они растёт дерево.,Они,Они,дерево,intransitive_verb_misuse     
Она бежит.,Она бежит песню.,Она,Она,песню,intransitive_verb_misuse     
Ребёнок отдыхает.,Ребёнок отдыхает подушку.,Ребёнок,Ребёнок,подушку,intransitive_verb_misuse     
Ребёнок умирает.,Ребёнок умирает дорогу.,Ребёнок,Ребёнок,дорогу,intransitive_verb_misuse     
Она бежит.,Она бежит музыку.,Она,Она,музыку,intransitive_verb_misuse     
Он работает.,Он работает подушку.,Он,Он,подушку,intransitive_verb_misuse     
Они бежит.,Они бежит музыку.,Они,Они,музыку,intransitive_verb_misuse     
Птица умирает.,Птица умирает дорогу.,Птица,Птица,дорогу,intransitive_verb_misuse     
Бабушка отдыхает.,Бабушка отдыхает болезнь.,Бабушка,Бабушка,болезнь,intransitive_verb_misuse     
Собака умирает.,Собака умирает шутку.,Собака,Собака,шутку,intransitive_verb_misuse     
Они смеётся.,Они смеётся дорогу.,Они,Они,дорогу,intransitive_verb_misuse     
Девочка отдыхает.,Девочка отдыхает шутку.,Девочка,Девочка,шутку,intransitive_verb_misuse     
Они умирает.,Они умирает песню.,Они,Они,песню,intransitive_verb_misuse     
Они бежит.,Они бежит небо.,Они,Они,небо,intransitive_verb_misuse     
Мама плачет.,Мама плачет болезнь.,Мама,Мама,болезнь,intransitive_verb_misuse     
Они работает.,Они работает болезнь.,Они,Они,болезнь,intransitive_verb_misuse     
Он летит.,Он летит песню.,Он,Он,песню,intransitive_verb_misuse     
Птица отдыхает.,Птица отдыхает шутку.,Птица,Птица,шутку,intransitive_verb_misuse     
Ребёнок спит.,Ребёнок спит шутку.,Ребёнок,Ребёнок,шутку,intransitive_verb_misuse     
Девочка работает.,Девочка работает подушку.,Девочка,Девочка,подушку,intransitive_verb_misuse     
