good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Мне нравится творожная запеканка.,мне нравится творог запеканка.,творожная запеканка,творог запеканка,творожная запеканка,nominal_derivation
Он хочет чесночный хлеб.,Он хочет чеснок хлеб.,чесночный,чеснок,чесночный,nominal_derivation
Павел ест пиццу с сырной корочкой.,Павел ест пиццу с сыр корочкой.,сырной,сыр,сырной,nominal_derivation
Он изучает медицинские науки.,Он изучает медицини науки.,медицинские,медицини,медицинские,nominal_derivation
Нам нравится медовое печенье.,Нам нравится мед печенье.,медовое,мед,медовое,nominal_derivation
Он бросил стеклянную бутылку.,Он бросил стекло бутылку.,стеклянную,стекло,стеклянную,nominal_derivation
Пьеро он велел держаться за собачий хвост.,Пьеро он велел держаться за собака хвост.,собачий,собака,собачий,nominal_derivation
Андрей решил открыть на эти деньги книжный магазин.,Андрей решил открыть на эти деньги книга магазин.,книжный,книга,книжный,nominal_derivation
Он воротился с огромной деревянной чашей.,Он воротился с огромной дерево чашей.,деревянной,дерево,деревянной,nominal_derivation
Методы обогащения оловянных руд довольно разнообразны.,Методы обогащения олово руд довольно разнообразны.,оловянных,олово,оловянных,nominal_derivation
