good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Я новостей не смотрю.,Я новости не смотрю.,новостей,новости,новостей,genitive_negation
В этом городе нет театров.,В этом городе нет театрах.,театров,театрах,театров,genitive_negation
У меня не было собаки.,У меня не было собака.,собаки,собака,собаки,genitive_negation
На стадионе больше не будет пластиковых сидений.,На стадионе больше не будет пластиковые сиденья.,пластиковых сидений,пластиковые сиденья,пластиковых сидений,genitive_negation
Я никогда этого не говорил.,Я никогда эту не говорил.,этого,эту,этого,genitive_negation
Он даже главы не прочитал.,Он даже глава не прочитал.,главы,глава,главы,genitive_negation
Они не слышали этих новостей по радио.,Они не слышали этим новостям по радио.,этих новостей,этим новостям,этих новостей,genitive_negation
Он не знает города.,Он не знает городу.,города,городу,города,genitive_negation
Олег не получал писем каждый день.,Олег не получал письма каждый день.,писем,письма,писем,genitive_negation
Анна не скрывала своей радости.,Анна не скрывала своя радости.,своей радости,своя радость,своей радости,genitive_negation
