good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Он хотел прочитать книгу.,Он хотел прочитать книгы.,книгу,книгы,книгу,accusative_marking
Мне нужно поесть чернику.,Мне нужно поесть черника,чернику,черника,чернику,accusative_marking
Она попросила выслушать меня.,Она попросила выслушать я.,меня,я,меня,accusative_marking
Я пью молоко из стакана.,Я пью молоку из стакана.,молоко,молоку,молоко,accusative_marking
Она купила стол для кухни.,Она купила столи для кухни.,стол,столи,стол,accusative_marking
Я положил розу в вазу.,Я положил роза в вазу.,розу,роза,розу,accusative_marking
Врачи лечат пациентов в больнице.,Врачи лечат пациенты в больнице.,пациентов,пациенты,пациентов,accusative_marking
Они изучают иностранные языки в университете.,Они изучают иностранных языков в университете.,иностранные языки,иностранных языков, иностранные языки,accusative_marking
Строители строят новые дома., Строители строят новым домам.,новые дома,новым домам,новые дома,accusative_marking
Он чувствует радость.,Он чувствует радости.,радость,радости,радость,accusative_marking
