good_sentence,bad_sentence,good_cue,bad_cue,critical_region,phenomenon
Он хочет читать книгу.,Он хочy читать книгу.,хочет,хочy,хочет,3rd_inflection
Он признаёт право каждого жить так.,Он признать право каждого жить так.,признаёт,признать,признаёт,3rd_inflection
Она в самолёте летит домой.,Она в самолёте летел домой.,летит,летел,летит,3rd_inflection
Мне нравится сын коллеги.,Мне нравлюсь сын коллеги.,нравится,нравлюсь,нравится,3rd_inflection
Исследователь живёт прямо напротив здания театра.,Исследователь живю прямо напротив здания театра.,живёт,живю,живёт,3rd_inflection
Автор принадлежит к числу последних свидетелей страшных событий.,Автор принадлежим к числу последних свидетелей страшных событий.,принадлежит,принадлежим,принадлежит,3rd_inflection
Этот студент получает только отличные оценки.,Этот студент получаю только отличные оценки.,получает,получаю,получает,3rd_inflection
Педагог предъявляет одинаковые требования ко всем.,Педагог предъявляем одинаковые требования ко всем.,предъявляет,предъявляем,предъявляет,3rd_inflection
Что может сделать самый сильный вол?,Что могут сделать самый сильный вол?,может,могут,может,3rd_inflection
Он обязательно забудет.,Он обязательно забуду.,забудет,забуду,забудет,3rd_inflection
